Employee ID, Employee Name,Tech Skill1,Tech Skill2,Tech Skill3, Soft Skill 1, Soft Skill 2, Soft Skill 3, Manager Feedback
1, Employee 1, Docker, HTML, CSS, Decision-making, Time management, Creativity, Excellent teamwork
2, Employee 2, Java, Java, Azure, Problem-solving, Time management, Decision-making, Needs improvement in time management
3, Employee 3, AWS, Kubernetes, AWS, Communication, Communication, Problem-solving, Good communication skills
4, Employee 4, HTML, Python, CSS, Problem-solving, Teamwork, Leadership, Excellent teamwork
5, Employee 5, JavaScript, SQL, Python, Leadership, Time management, Adaptability, Great work!
6, Employee 6, Kubernetes, JavaScript, Docker, Teamwork, Critical thinking, Decision-making, Needs to work on problem-solving skills
7, Employee 7, Java, Kubernetes, CSS, Leadership, Adaptability, Creativity, Needs to improve attention to detail
8, Employee 8, HTML, Java, HTML, Adaptability, Teamwork, Leadership, Good communication skills
9, Employee 9, Docker, SQL, Docker, Teamwork, Communication, Adaptability, Adapts well to changes
10, Employee 10, Java, Python, SQL, Teamwork, Conflict resolution, Conflict resolution, Great work!
11, Employee 11, Kubernetes, Java, HTML, Teamwork, Time management, Decision-making, Needs improvement in time management
12, Employee 12, Docker, SQL, Python, Problem-solving, Teamwork, Problem-solving, Leadership potential
13, Employee 13, Java, CSS, Kubernetes, Creativity, Conflict resolution, Communication, Leadership potential
14, Employee 14, AWS, Kubernetes, AWS, Leadership, Leadership, Critical thinking, Needs improvement in time management
15, Employee 15, Kubernetes, CSS, Docker, Leadership, Adaptability, Critical thinking, Shows good decision-making skills
16, Employee 16, Docker, Java, Azure, Critical thinking, Problem-solving, Teamwork, Good communication skills
17, Employee 17, Python, Azure, Azure, Time management, Time management, Critical thinking, Shows good decision-making skills
18, Employee 18, Kubernetes, AWS, Kubernetes, Conflict resolution, Communication, Leadership, Leadership potential
19, Employee 19, SQL, Python, Docker, Adaptability, Creativity, Creativity, Needs to work on problem-solving skills
20, Employee 20, Kubernetes, Docker, Kubernetes, Problem-solving, Communication, Decision-making, Good communication skills
21, Employee 21, Azure, HTML, Docker, Teamwork, Teamwork, Creativity, Needs improvement in time management
22, Employee 22, AWS, CSS, Java, Communication, Teamwork, Conflict resolution, Good communication skills
23, Employee 23, HTML, Python, Kubernetes, Critical thinking, Time management, Problem-solving, Needs to improve attention to detail
24, Employee 24, Docker, JavaScript, SQL, Time management, Leadership, Communication, Needs to improve attention to detail
25, Employee 25, AWS, Docker, Azure, Teamwork, Teamwork, Adaptability, Needs improvement in time management
26, Employee 26, Python, SQL, JavaScript, Time management, Time management, Leadership, Good communication skills
